,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
fgObj.rank(fgObj.rtn),0.022637319747906684,0.03337015188130965,0.017410469891953686,0.019766025754150617,0.00017648117494134804,0.021103824169698214,7.04370092181632
fgObj.scale(fgObj.rtn),-0.009597131172138703,-0.01790270711749422,-0.006880437638097198,-0.014700601082335531,-0.0005005573906410085,-0.045730500018437016,7.04370092181632
"fgObj.decay_linear(fgObj.rtn, 20, min_periods=15)",-0.001791266280679251,0.0007286502987417197,-0.003030007027821555,-0.002113351989226226,0.00010542899042861156,0.008058271493469271,7.04370092181632
"fgObj.delay(fgObj.rtn, 20)",0.024066301163607983,0.02513225033452228,0.024288113659648586,0.027461891098239453,-3.074515176666418e-05,-0.015634718542259327,7.04370092181632
"fgObj.delta(fgObj.rtn, 20)",-0.0033682720064626692,0.008251082559189172,-0.003773105237349187,0.007122933469382579,0.0002389828670822394,0.02983527835378773,7.04370092181632
"fgObj.ts_argmax(fgObj.rtn, 20, min_periods=15)",0.0018051930131267435,0.014452783607244902,0.0067622766361669214,0.02774399698386919,2.6545004193978827e-05,0.009640810594835104,7.04370092181632
"fgObj.ts_argmin(fgObj.rtn, 20, min_periods=15)",0.00013643698541997623,0.006324904689225901,0.0011599232682679174,0.016445073161691196,1.1876150972973561e-05,-0.002821552199056623,7.04370092181632
"fgObj.ts_max(fgObj.rtn, 20, min_periods=15)",-5.4253302634254215e-05,0.006581984812284652,0.0029408146663027633,0.014179886342166638,-3.806159843526753e-05,-0.002470923775678785,7.04370092181632
"fgObj.ts_mean(fgObj.rtn, 20, min_periods=15)",0.01147229585178828,0.02183766638695013,0.012492671790215399,0.023711080858568784,0.00039605234489134696,0.020872643157565932,7.04370092181632
"fgObj.ts_median(fgObj.rtn, 20, min_periods=15)",0.017367408271056522,0.028582891001511623,0.0156924685443085,0.02486360067247507,0.0003669048613147428,0.028006888733331885,7.04370092181632
"fgObj.ts_min(fgObj.rtn, 20, min_periods=15)",-0.004343693785975931,-0.019439050634228842,-0.003880480932141387,-0.020693190313059735,-0.00026140924609780635,-0.016072985928948,7.04370092181632
"fgObj.ts_prod(fgObj.rtn, 20, min_periods=15)",0.0033214911872319146,-0.007002513546056791,0.012166881135546856,0.013820639801976063,0.00016205277504843324,0.006770187005049137,7.04370092181632
"fgObj.ts_rank(fgObj.rtn, 20, min_periods=15)",0.02419576525361335,0.03620214148522362,0.021911722920706197,0.0225665838511419,0.00039867405826475447,0.04057639153403117,7.04370092181632
"fgObj.ts_std(fgObj.rtn, 20, min_periods=15)",-0.002962171982484411,0.005136664062682481,0.0007558038366811963,0.012645688443453184,-5.888895476101361e-06,-0.0002541788977095887,7.04370092181632
"fgObj.ts_sum(fgObj.rtn, 20, min_periods=15)",0.011449381540377411,0.02178374795151093,0.012414735034894337,0.023511900331576772,0.00039742669927659435,0.02103369374733621,7.04370092181632
"fgObj.correlation(fgObj.rtn, fgObj.cls, 20, min_periods=15)",-0.008152709978227894,-0.01696671111903659,-0.006048433665197164,-0.01146053676261867,3.1040929372325443e-05,0.010792277012079458,7.04370092181632
"fgObj.correlation(fgObj.rtn, fgObj.opn, 20, min_periods=15)",-0.010642283315888996,-0.01670515080184323,-0.0073497587267936,-0.01244904297379277,-0.0003183545819430091,-0.023476892878701153,7.04370092181632
"fgObj.correlation(fgObj.rtn, fgObj.high, 20, min_periods=15)",-0.004564324811392414,-0.01649364929968496,0.0009738100521187768,-0.006371336687871446,-0.0001872914508451147,-0.01649136515514025,7.04370092181632
"fgObj.correlation(fgObj.rtn, fgObj.low, 20, min_periods=15)",-0.002992423619628626,-0.012057361023033064,0.0008462303110096965,-0.004380144298160922,-0.0001077310550098313,-0.007658986900285999,7.04370092181632
"fgObj.correlation(fgObj.rtn, fgObj.volume, 20, min_periods=15)",-0.01698254679560463,-0.020179624624513448,-0.01907252627206875,-0.02653245037222488,-0.00014443117690282096,0.002523091415751049,7.04370092181632
"fgObj.correlation(fgObj.rtn, fgObj.oi, 20, min_periods=15)",-0.009964292242324804,-0.022851585943405903,-0.01570918325950423,-0.034205699482273,0.00032167603505791817,0.027756674272399803,7.04370092181632
"fgObj.correlation(fgObj.cls, fgObj.opn, 20, min_periods=15)",-0.005721623601405823,-0.009100481569681717,-0.006464124934346801,-0.012311399225297073,-8.32406564892162e-05,-0.010554881575180254,7.04370092181632
"fgObj.correlation(fgObj.cls, fgObj.high, 20, min_periods=15)",-0.005732295352822102,-0.008064720919636854,-0.006650601270732289,-0.013025235953313003,-0.00011055806209524471,-0.012982896442977955,7.04370092181632
"fgObj.correlation(fgObj.cls, fgObj.low, 20, min_periods=15)",0.004914130434436186,0.005952522849484448,0.000636893573541406,-0.004898843598735201,-6.472749077278361e-05,-0.0019340736444393807,7.04370092181632
"fgObj.correlation(fgObj.cls, fgObj.volume, 20, min_periods=15)",-0.0018439200600820437,0.00739505078384844,-0.004224474379108552,0.002292427075269414,0.0005833358429828143,0.05893446951145805,7.04370092181632
"fgObj.correlation(fgObj.cls, fgObj.oi, 20, min_periods=15)",-0.012323409429537323,-0.012189089146517824,-0.010411684654864223,-0.008741876034181861,0.00010929193618432015,0.0005604123558268283,7.04370092181632
"fgObj.correlation(fgObj.opn, fgObj.high, 20, min_periods=15)",0.0012235020799526005,0.000247931901663484,-0.005984516653905214,-0.015887004556770896,-3.2083138215752595e-05,-0.012144542597250344,7.04370092181632
"fgObj.correlation(fgObj.opn, fgObj.low, 20, min_periods=15)",-0.0006709906466743396,0.005726069658775256,-0.002719744545468428,-0.0025574274715335944,7.781143041623011e-05,0.003967747018416102,7.04370092181632
"fgObj.correlation(fgObj.opn, fgObj.volume, 20, min_periods=15)",0.0028813271673516845,0.012093984331559848,0.0015729601262185248,0.00991373637897963,0.0005956671308759904,0.051647827184566245,7.04370092181632
"fgObj.correlation(fgObj.opn, fgObj.oi, 20, min_periods=15)",-0.007264551611898267,-0.0018140399287605114,-0.006350307840246629,0.0020737793860714,0.0001728879075857004,0.01738809311397135,7.04370092181632
"fgObj.correlation(fgObj.high, fgObj.low, 20, min_periods=15)",0.01076082251648055,0.02461890524743834,0.003309746196464726,0.0033574527616808893,-1.4798366833290923e-05,0.005208512341651859,7.04370092181632
"fgObj.correlation(fgObj.high, fgObj.volume, 20, min_periods=15)",-0.002839607239049385,0.005412706765754928,-0.006812388288452943,-0.00364429383147304,0.0005100865127619255,0.04546434228392045,7.04370092181632
"fgObj.correlation(fgObj.high, fgObj.oi, 20, min_periods=15)",-0.008979033842543489,-0.005819731483577345,-0.008259429627371228,-0.004360159236102608,0.00010187221204029568,0.014129624112620462,7.04370092181632
"fgObj.correlation(fgObj.low, fgObj.volume, 20, min_periods=15)",-0.0029636242195171703,0.008162256407403312,-0.00544531152009022,0.0029004602082007692,0.0006149501600555127,0.05933084516886806,7.04370092181632
"fgObj.correlation(fgObj.low, fgObj.oi, 20, min_periods=15)",-0.009790167779996478,-0.008610263744230387,-0.00604919900713532,-3.4447925870559546e-05,7.293105666648007e-05,0.002011308075289918,7.04370092181632
"fgObj.correlation(fgObj.volume, fgObj.oi, 20, min_periods=15)",-0.02332194345350418,-0.022672782031242313,-0.025751897212972785,-0.027802541255885504,3.0843868664116796e-05,0.015287998101387236,7.04370092181632
"fgObj.covariance(fgObj.rtn, fgObj.cls, 20, min_periods=15)",-0.006838887712899332,0.0021903099209264493,-0.005013364629288541,0.006210438752621349,-0.00019518498256136958,5.594516147538475e-05,7.04370092181632
"fgObj.covariance(fgObj.rtn, fgObj.opn, 20, min_periods=15)",-0.006646998011768005,-0.009644268338585426,-0.00648990949565798,-0.010121107228863472,0.0002316147188065655,0.005676552226631233,7.04370092181632
"fgObj.covariance(fgObj.rtn, fgObj.high, 20, min_periods=15)",-0.007714016476707511,-0.008796342758255592,-0.006597336585745703,-0.00786043896924249,-0.0003800862310907099,-0.02570687548699326,7.04370092181632
"fgObj.covariance(fgObj.rtn, fgObj.low, 20, min_periods=15)",-0.006006347089920133,-0.0039476674143832215,-0.002175702440674928,0.0044772532126230915,-2.5781834615103833e-06,0.003463169650736569,7.04370092181632
"fgObj.covariance(fgObj.rtn, fgObj.volume, 20, min_periods=15)",-0.0019003124796405984,0.00021752473016888038,-0.005336731870182126,-0.00995816462300578,-0.00014855375441080542,0.0039452177879164396,7.04370092181632
"fgObj.covariance(fgObj.rtn, fgObj.oi, 20, min_periods=15)",0.002086514634010854,-0.00017895722166264087,-0.004366186836948623,-0.014732296172926344,4.754257698765367e-05,0.0043673546960128545,7.04370092181632
"fgObj.covariance(fgObj.cls, fgObj.opn, 20, min_periods=15)",-0.010765309825362605,-0.012493397523680356,-0.007786926099233214,-0.005686841348570347,-0.0005043474557658099,-0.03313408738230285,7.04370092181632
"fgObj.covariance(fgObj.cls, fgObj.high, 20, min_periods=15)",-0.005177694736989976,-0.0055259156809329656,-0.003873616010127461,-0.0019409864181322714,-0.00048771959287119773,-0.030247387675268092,7.04370092181632
"fgObj.covariance(fgObj.cls, fgObj.low, 20, min_periods=15)",-0.009048190864133656,-0.00960399781526617,-0.0064360784558844565,-0.0036864389275127925,-0.00041542761072489026,-0.02541087850934464,7.04370092181632
"fgObj.covariance(fgObj.cls, fgObj.volume, 20, min_periods=15)",-0.020298131485730193,-0.023188638683084326,-0.024652185154024262,-0.03314217867276224,0.00014602465641769607,0.021816681704488545,7.04370092181632
"fgObj.covariance(fgObj.cls, fgObj.oi, 20, min_periods=15)",-0.007661621027306497,-0.0012298752121778056,-0.010419198140540367,-0.011637080811198961,-9.168207366664262e-05,-0.0074338565376093615,7.04370092181632
"fgObj.covariance(fgObj.opn, fgObj.high, 20, min_periods=15)",-0.005548558798948067,-0.005362481832797635,-0.0029661873850719872,-0.0007230280634557784,-0.0005495135368108239,-0.03563552292473504,7.04370092181632
"fgObj.covariance(fgObj.opn, fgObj.low, 20, min_periods=15)",-0.011179787850615913,-0.011906720532411775,-0.00744780309967309,-0.004529343414789009,-0.0004313498648571243,-0.026440175588127935,7.04370092181632
"fgObj.covariance(fgObj.opn, fgObj.volume, 20, min_periods=15)",-0.01805733882709023,-0.021783144134364173,-0.020673656774784617,-0.02950998505545137,0.0003233650415793123,0.02766135588529645,7.04370092181632
"fgObj.covariance(fgObj.opn, fgObj.oi, 20, min_periods=15)",-0.004883421271094013,0.005964890778160167,-0.011737508107515148,-0.010828345478796395,9.620018136958236e-06,0.0028770076581222117,7.04370092181632
"fgObj.covariance(fgObj.high, fgObj.low, 20, min_periods=15)",-0.005591423508468801,-0.005813047628206248,-0.003118766216510424,-0.0009127928870390712,-0.0005399309592934292,-0.03643670691520411,7.04370092181632
"fgObj.covariance(fgObj.high, fgObj.volume, 20, min_periods=15)",-0.01995996587030384,-0.019937430457158838,-0.022482699724330445,-0.027009594956275498,0.0002510068989363535,0.0212458954454353,7.04370092181632
"fgObj.covariance(fgObj.high, fgObj.oi, 20, min_periods=15)",-0.006679264924143537,0.0012817688971691961,-0.012409633880443286,-0.014028685664568708,-0.0001117740409593847,-0.0063852321901870695,7.04370092181632
"fgObj.covariance(fgObj.low, fgObj.volume, 20, min_periods=15)",-0.02313682176819004,-0.024257493432517072,-0.030548965608174574,-0.04470558239590043,0.00022360277656700291,0.024155340036732444,7.04370092181632
"fgObj.covariance(fgObj.low, fgObj.oi, 20, min_periods=15)",-0.007243844275618673,0.001249769470253361,-0.011504040963856288,-0.01119225373572532,-3.813108722331785e-05,-0.0047093782421573725,7.04370092181632
"fgObj.covariance(fgObj.volume, fgObj.oi, 20, min_periods=15)",-0.02031717443989237,-0.03268380497463626,-0.01628496917498515,-0.0221119610764698,-0.000260648082255613,-0.006008143846821672,7.04370092181632
