date,LPG
2015/1/5,455
2015/1/6,430
2015/1/7,419
2015/1/8,422
2015/1/9,421
2015/1/12,417
2015/1/13,400
2015/1/14,411
2015/1/15,437
2015/1/16,436
2015/1/19,455
2015/1/20,460.5
2015/1/21,489
2015/1/22,547.5
2015/1/23,540.5
2015/1/26,512
2015/1/27,497.5
2015/1/28,505.5
2015/1/29,481.5
2015/1/30,489.5
2015/2/2,533
2015/2/3,575
2015/2/4,559
2015/2/5,521.5
2015/2/6,574
2015/2/9,562
2015/2/10,559
2015/2/11,556.5
2015/2/12,568
2015/2/13,592
2015/2/16,590
2015/2/17,607
2015/2/18,607
2015/2/19,607
2015/2/20,607
2015/2/23,596.5
2015/2/24,586
2015/2/25,584.5
2015/2/26,581
2015/2/27,570.5
2015/3/2,577
2015/3/3,573.5
2015/3/4,573
2015/3/5,567
2015/3/6,572
2015/3/9,565
2015/3/10,551
2015/3/11,537
2015/3/12,545
2015/3/13,534
2015/3/16,517
2015/3/17,515
2015/3/18,510
2015/3/19,505
2015/3/20,507
2015/3/23,497
2015/3/24,519
2015/3/25,524.5
2015/3/26,552
2015/3/27,543.5
2015/3/30,541
2015/3/31,536
2015/4/1,520
2015/4/2,525
2015/4/3,525
2015/4/6,516.5
2015/4/7,515
2015/4/8,512.5
2015/4/9,500
2015/4/10,500
2015/4/13,517.5
2015/4/14,520
2015/4/15,539
2015/4/16,574
2015/4/17,567
2015/4/20,565
2015/4/21,549
2015/4/22,534
2015/4/23,538.5
2015/4/24,555
2015/4/27,551
2015/4/28,536
2015/4/29,516
2015/4/30,514
2015/5/1,514
2015/5/4,516
2015/5/5,503
2015/5/6,508
2015/5/7,501.5
2015/5/8,502
2015/5/11,505.5
2015/5/12,526
2015/5/13,544
2015/5/14,520
2015/5/15,521
2015/5/18,523
2015/5/19,510
2015/5/20,494
2015/5/21,498
2015/5/22,504
2015/5/25,498.5
2015/5/26,506.5
2015/5/27,492
2015/5/28,474
2015/5/29,488
2015/6/1,488
2015/6/2,515
2015/6/3,491
2015/6/4,477
2015/6/5,458
2015/6/8,473
2015/6/9,475.5
2015/6/10,506
2015/6/11,511
2015/6/12,505
2015/6/15,506.5
2015/6/16,495.5
2015/6/17,505
2015/6/18,503
2015/6/19,501
2015/6/22,494
2015/6/23,490
2015/6/24,497
2015/6/25,489
2015/6/26,487.5
2015/6/29,482.5
2015/6/30,481
2015/7/1,477
2015/7/2,473
2015/7/3,472
2015/7/6,461
2015/7/7,452
2015/7/8,451
2015/7/9,462
2015/7/10,467.5
2015/7/13,454
2015/7/14,460
2015/7/15,471
2015/7/16,468
2015/7/17,468
2015/7/20,463
2015/7/21,451
2015/7/22,452
2015/7/23,459
2015/7/24,452
2015/7/27,449
2015/7/28,447
2015/7/29,436
2015/7/30,441
2015/7/31,433
2015/8/3,419
2015/8/4,410
2015/8/5,405
2015/8/6,404
2015/8/7,404
2015/8/10,404
2015/8/11,405.5
2015/8/12,400.5
2015/8/13,406
2015/8/14,391.5
2015/8/17,390
2015/8/18,396.5
2015/8/19,410.5
2015/8/20,391
2015/8/21,385.5
2015/8/24,361
2015/8/25,361
2015/8/26,363.5
2015/8/27,375
2015/8/28,387
2015/8/31,399
2015/9/1,429
2015/9/2,400.5
2015/9/3,416
2015/9/4,414
2015/9/7,413
2015/9/8,414
2015/9/9,425.5
2015/9/10,422.5
2015/9/11,422.5
2015/9/14,413.5
2015/9/15,416
2015/9/16,422
2015/9/17,428
2015/9/18,425
2015/9/21,413
2015/9/22,412
2015/9/23,422
2015/9/24,422
2015/9/25,420
2015/9/28,432
2015/9/29,423
2015/9/30,416
2015/10/1,423
2015/10/2,419
2015/10/5,431
2015/10/6,436
2015/10/7,458
2015/10/8,449.5
2015/10/9,454
2015/10/12,457.5
2015/10/13,453.5
2015/10/14,449.5
2015/10/15,443.5
2015/10/16,437
2015/10/19,432
2015/10/20,427
2015/10/21,439
2015/10/22,439.5
2015/10/23,444.5
2015/10/26,443
2015/10/27,437.5
2015/10/28,440.5
2015/10/29,458
2015/10/30,458
2015/11/2,473
2015/11/3,475
2015/11/4,499
2015/11/5,505
2015/11/6,508.5
2015/11/9,508.5
2015/11/10,508.5
2015/11/11,478.5
2015/11/12,478.5
2015/11/13,466
2015/11/16,460.5
2015/11/17,461.5
2015/11/18,477
2015/11/19,478
2015/11/20,471
2015/11/23,479
2015/11/24,522
2015/11/25,530
2015/11/26,519.5
2015/11/27,512
2015/11/30,485.5
2015/12/1,472.5
2015/12/2,467
2015/12/3,444
2015/12/4,449
2015/12/7,461
2015/12/8,461
2015/12/9,429
2015/12/10,411.5
2015/12/11,409.5
2015/12/14,390.5
2015/12/15,386
2015/12/16,379
2015/12/17,374
2015/12/18,389
2015/12/21,380.5
2015/12/22,376.5
2015/12/23,374.5
2015/12/24,382.5
2015/12/25,382.5
2015/12/28,386.5
2015/12/29,379.5
2015/12/30,380.5
2015/12/31,381
2016/1/4,386
2016/1/5,383
2016/1/6,360
2016/1/7,340
2016/1/8,344
2016/1/11,327.5
2016/1/12,321
2016/1/13,333
2016/1/14,328.5
2016/1/15,308
2016/1/18,286
2016/1/19,294
2016/1/20,295.5
2016/1/21,312.5
2016/1/22,339
2016/1/25,342.5
2016/1/26,318.5
2016/1/27,307.5
2016/1/28,329.5
2016/1/29,340.5
2016/2/1,342.5
2016/2/2,330
2016/2/3,313.5
2016/2/4,341
2016/2/5,336.5
2016/2/8,336.5
2016/2/9,336.5
2016/2/10,324.5
2016/2/11,318
2016/2/12,317.5
2016/2/15,320
2016/2/16,326
2016/2/17,306.5
2016/2/18,302.5
2016/2/19,296
2016/2/22,303.5
2016/2/23,306.5
2016/2/24,307.5
2016/2/25,314
2016/2/26,324
2016/2/29,324.5
2016/3/1,336
2016/3/2,332
2016/3/3,333.5
2016/3/4,333
2016/3/7,342
2016/3/8,342.5
2016/3/9,331.5
2016/3/10,337
2016/3/11,332
2016/3/14,321
2016/3/15,321
2016/3/16,330
2016/3/17,347
2016/3/18,343
2016/3/21,342.5
2016/3/22,348
2016/3/23,352
2016/3/24,348
2016/3/25,348
2016/3/28,358
2016/3/29,355
2016/3/30,357
2016/3/31,352
2016/4/1,348
2016/4/4,338
2016/4/5,330
2016/4/6,335
2016/4/7,339.5
2016/4/8,342.5
2016/4/11,343.5
2016/4/12,343.5
2016/4/13,349.5
2016/4/14,350.5
2016/4/15,350
2016/4/18,339
2016/4/19,347
2016/4/20,339
2016/4/21,343
2016/4/22,337
2016/4/25,338
2016/4/26,337
2016/4/27,350
2016/4/28,348.5
2016/4/29,362.5
2016/5/2,362.5
2016/5/3,340
2016/5/4,338
2016/5/5,337
2016/5/6,329
2016/5/9,335
2016/5/10,325.5
2016/5/11,332
2016/5/12,352.5
2016/5/13,354
2016/5/16,360
2016/5/17,359.5
2016/5/18,360
2016/5/19,345
2016/5/20,352
2016/5/23,343.5
2016/5/24,343.5
2016/5/25,347
2016/5/26,349.5
2016/5/27,345
2016/5/30,343.5
2016/5/31,344
2016/6/1,339
2016/6/2,338
2016/6/3,332
2016/6/6,324
2016/6/7,321
2016/6/8,326.5
2016/6/9,335
2016/6/10,329
2016/6/13,325.5
2016/6/14,320
2016/6/15,319.5
2016/6/16,322.5
2016/6/17,327.5
2016/6/20,338
2016/6/21,331
2016/6/22,332
2016/6/23,330
2016/6/24,321.5
2016/6/27,325.5
2016/6/28,326.5
2016/6/29,326
2016/6/30,323.5
2016/7/1,317.5
2016/7/4,320
2016/7/5,309
2016/7/6,309
2016/7/7,322
2016/7/8,311.5
2016/7/11,311.5
2016/7/12,312
2016/7/13,314.5
2016/7/14,308
2016/7/15,313
2016/7/18,312
2016/7/19,306
2016/7/20,304
2016/7/21,308
2016/7/22,297
2016/7/25,296
2016/7/26,299
2016/7/27,293.5
2016/7/28,283.5
2016/7/29,269
2016/8/1,271.5
2016/8/2,273
2016/8/3,275
2016/8/4,280
2016/8/5,281.5
2016/8/8,283.5
2016/8/9,283.5
2016/8/10,283
2016/8/11,274
2016/8/12,280
2016/8/15,285.5
2016/8/16,297
2016/8/17,296
2016/8/18,303
2016/8/19,301
2016/8/22,298
2016/8/23,292.5
2016/8/24,300
2016/8/25,304
2016/8/26,311
2016/8/29,310.5
2016/8/30,315
2016/8/31,306
2016/9/1,305
2016/9/2,301.5
2016/9/5,322
2016/9/6,314
2016/9/7,319.5
2016/9/8,323.5
2016/9/9,321.5
2016/9/12,321.5
2016/9/13,314.5
2016/9/14,317.5
2016/9/15,320.5
2016/9/16,325
2016/9/19,330
2016/9/20,337.5
2016/9/21,353
2016/9/22,360.5
2016/9/23,356
2016/9/26,342
2016/9/27,341
2016/9/28,343
2016/9/29,345
2016/9/30,348
2016/10/3,356
2016/10/4,355
2016/10/5,363
2016/10/6,364.5
2016/10/7,369
2016/10/10,370.5
2016/10/11,374.5
2016/10/12,377.5
2016/10/13,378
2016/10/14,385
2016/10/17,392
2016/10/18,393
2016/10/19,403
2016/10/20,399.5
2016/10/21,400
2016/10/24,404.5
2016/10/25,405
2016/10/26,398.5
2016/10/27,397
2016/10/28,392
2016/10/31,391
2016/11/1,389.5
2016/11/2,387
2016/11/3,393
2016/11/4,391.5
2016/11/7,391
2016/11/8,381.5
2016/11/9,362.5
2016/11/10,376
2016/11/11,376
2016/11/14,369.5
2016/11/15,365.5
2016/11/16,367
2016/11/17,363
2016/11/18,368
2016/11/21,385.5
2016/11/22,391.5
2016/11/23,392
2016/11/24,385
2016/11/25,382.5
2016/11/28,376.5
2016/11/29,381.5
2016/11/30,387
2016/12/1,396
2016/12/2,409
2016/12/5,416
2016/12/6,418
2016/12/7,413
2016/12/8,409.5
2016/12/9,412.5
2016/12/12,427.5
2016/12/13,413.5
2016/12/14,407
2016/12/15,408
2016/12/16,410
2016/12/19,420.5
2016/12/20,425
2016/12/21,438
2016/12/22,436
2016/12/23,439.5
2016/12/26,439.5
2016/12/27,445
2016/12/28,462
2016/12/29,470
2016/12/30,472
2017/1/3,476.5
2017/1/4,475.5
2017/1/5,493.5
2017/1/6,504.5
2017/1/9,499
2017/1/10,494.5
2017/1/11,496
2017/1/12,509.5
2017/1/13,509
2017/1/16,497
2017/1/17,507
2017/1/18,516.5
2017/1/19,514
2017/1/20,519.5
2017/1/23,525
2017/1/24,517.5
2017/1/25,512
2017/1/26,506
2017/1/27,510.5
2017/1/30,510.5
2017/1/31,503
2017/2/1,517
2017/2/2,540
2017/2/3,538
2017/2/6,531.5
2017/2/7,499.5
2017/2/8,489
2017/2/9,501.5
2017/2/10,504.5
2017/2/13,517.5
2017/2/14,517
2017/2/15,514
2017/2/16,494
2017/2/17,492
2017/2/20,484.5
2017/2/21,483
2017/2/22,473
2017/2/23,462.5
2017/2/24,457
2017/2/27,458.5
2017/2/28,452
2017/3/1,445
2017/3/2,421.5
2017/3/3,428
2017/3/6,428
2017/3/7,441
2017/3/8,449.5
2017/3/9,448
2017/3/10,454.5
2017/3/13,451.5
2017/3/14,468.5
2017/3/15,476.5
2017/3/16,464.5
2017/3/17,452.5
2017/3/20,439
2017/3/21,450.5
2017/3/22,461
2017/3/23,461
2017/3/24,459.5
2017/3/27,431.5
2017/3/28,442
2017/3/29,435.5
2017/3/30,434
2017/3/31,421.5
2017/4/3,405
2017/4/4,399.5
2017/4/5,409.5
2017/4/6,411
2017/4/7,421
2017/4/10,427
2017/4/11,425.5
2017/4/12,438
2017/4/13,439
2017/4/14,439
2017/4/17,436
2017/4/18,435
2017/4/19,433
2017/4/20,423
2017/4/21,412
2017/4/24,406
2017/4/25,401.5
2017/4/26,397.5
2017/4/27,387
2017/4/28,404.5
2017/5/1,404.5
2017/5/2,398
2017/5/3,398
2017/5/4,407
2017/5/5,398
2017/5/8,404
2017/5/9,397
2017/5/10,397
2017/5/11,397
2017/5/12,396
2017/5/15,412.5
2017/5/16,409
2017/5/17,397.5
2017/5/18,401
2017/5/19,410
2017/5/22,416
2017/5/23,412.5
2017/5/24,418
2017/5/25,415.5
2017/5/26,403
2017/5/29,407.5
2017/5/30,404.5
2017/5/31,401
2017/6/1,403
2017/6/2,392
2017/6/5,398
2017/6/6,403
2017/6/7,395.5
2017/6/8,387.5
2017/6/9,381.5
2017/6/12,385.5
2017/6/13,390
2017/6/14,383.5
2017/6/15,378
2017/6/16,376
2017/6/19,373.5
2017/6/20,374
2017/6/21,370
2017/6/22,362.5
2017/6/23,356.5
2017/6/26,356.5
2017/6/27,360
2017/6/28,357.5
2017/6/29,363.5
2017/6/30,373
2017/7/3,380
2017/7/4,376.5
2017/7/5,365
2017/7/6,369
2017/7/7,364
2017/7/10,364
2017/7/11,366.5
2017/7/12,379
2017/7/13,379.5
2017/7/14,386
2017/7/17,392
2017/7/18,391.5
2017/7/19,400.5
2017/7/20,406
2017/7/21,410
2017/7/24,402.5
2017/7/25,415.5
2017/7/26,423
2017/7/27,432
2017/7/28,439
2017/7/31,447.5
2017/8/1,453.5
2017/8/2,449.5
2017/8/3,463
2017/8/4,451.5
2017/8/7,448
2017/8/8,447.5
2017/8/9,447.5
2017/8/10,464
2017/8/11,457.5
2017/8/14,463
2017/8/15,454
2017/8/16,452
2017/8/17,445.5
2017/8/18,453
2017/8/21,458
2017/8/22,456.5
2017/8/23,457
2017/8/24,469.5
2017/8/25,487
2017/8/28,497
2017/8/29,503
2017/8/30,495
2017/8/31,500
2017/9/1,500
2017/9/4,513
2017/9/5,512.5
2017/9/6,517.5
2017/9/7,533
2017/9/8,533
2017/9/11,526
2017/9/12,527.5
2017/9/13,531
2017/9/14,529
2017/9/15,534
2017/9/18,536.5
2017/9/19,532.5
2017/9/20,540.5
2017/9/21,560
2017/9/22,567.5
2017/9/25,578
2017/9/26,588.5
2017/9/27,584
2017/9/28,580
2017/9/29,560.5
2017/10/2,557
2017/10/3,539
2017/10/4,545
2017/10/5,570.5
2017/10/6,583.5
2017/10/9,585
2017/10/10,581.25
2017/10/11,579.75
2017/10/12,570.25
2017/10/13,572.5
2017/10/16,578.5
2017/10/17,576.5
2017/10/18,576.5
2017/10/19,563.5
2017/10/20,561.5
2017/10/23,572.25
2017/10/24,579.75
2017/10/25,589.25
2017/10/26,589.25
2017/10/27,589.25
2017/10/30,596.5
2017/10/31,575
2017/11/1,580.75
2017/11/2,561.75
2017/11/3,581.75
2017/11/6,595
2017/11/7,598
2017/11/8,565.25
2017/11/9,575.5
2017/11/10,594.75
2017/11/13,590.5
2017/11/14,589
2017/11/15,579.5
2017/11/16,595.25
2017/11/17,593.75
2017/11/20,597.5
2017/11/21,592
2017/11/22,599
2017/11/23,594.25
2017/11/24,604
2017/11/27,609.25
2017/11/28,608
2017/11/29,607.25
2017/11/30,594
2017/12/1,594
2017/12/4,597
2017/12/5,601.75
2017/12/6,606.75
2017/12/7,600
2017/12/8,595
2017/12/11,597.25
2017/12/12,594.25
2017/12/13,587.75
2017/12/14,576.5
2017/12/15,565.5
2017/12/18,576
2017/12/19,582
2017/12/20,600
2017/12/21,609.75
2017/12/22,604
2017/12/25,604
2017/12/26,605.75
2017/12/27,610
2017/12/28,600
2017/12/29,599.5
2018/1/2,603.25
2018/1/3,596.25
2018/1/4,596.5
2018/1/5,570.5
2018/1/8,582.5
2018/1/9,577.766
2018/1/10,551.928
2018/1/11,543.741
2018/1/12,564.334
2018/1/15,571.159
2018/1/16,564.294
2018/1/17,570.116
2018/1/18,571.114
2018/1/19,561.018
2018/1/22,543.845
2018/1/23,534.723
2018/1/24,539.959
2018/1/25,527.06
2018/1/26,525.53
2018/1/29,529.973
2018/1/30,540.565
2018/1/31,548.504
2018/2/1,558.014
2018/2/2,519.996
2018/2/5,500.021
2018/2/6,481.902
2018/2/7,472.674
2018/2/8,465.534
2018/2/9,467.693
2018/2/12,472.712
2018/2/13,476.726
2018/2/14,496.521
2018/2/22,486.164
2018/2/23,498.779
2018/2/26,504.966
2018/2/27,494.485
2018/2/28,474.971
2018/3/1,468.881
2018/3/2,478.211
2018/3/5,480.564
2018/3/6,480.79
2018/3/7,467.144
2018/3/8,456.653
2018/3/9,468.757
2018/3/12,456.653
2018/3/13,470.005
2018/3/14,482.198
2018/3/15,479.475
2018/3/16,475.079
2018/3/19,466.224
2018/3/20,476.057
2018/3/21,490.666
2018/3/22,485.144
2018/3/23,498.008
2018/3/26,495.898
2018/3/27,495.993
2018/3/28,488.742
2018/3/29,492.44
2018/3/30,492.44
2018/4/2,473.964
2018/4/3,472.254
2018/4/4,465.828
2018/4/5,464.695
2018/4/6,457.893
2018/4/9,465.975
2018/4/10,478.704
2018/4/11,485.399
2018/4/12,485.167
2018/4/13,494.54
2018/4/16,485.874
2018/4/17,487.815
2018/4/18,501.003
2018/4/19,498.066
2018/4/20,497.588
2018/4/23,504.78
2018/4/24,491.982
2018/4/25,506.734
2018/4/26,516.73
2018/4/27,520.59
2018/5/2,526.836
2018/5/3,529.702
2018/5/4,530.232
2018/5/7,542.052
2018/5/8,520.809
2018/5/9,536.937
2018/5/10,541.798
2018/5/11,549.197
2018/5/14,558.741
2018/5/15,567.579
2018/5/16,591.773
2018/5/17,587.45
2018/5/18,575.024
2018/5/21,580.462
2018/5/22,573.39
2018/5/23,581.698
2018/5/24,578.943
2018/5/25,569.951
2018/5/28,561.261
2018/5/29,566.539
2018/5/30,574.132
2018/5/31,571.409
2018/6/1,569.707
2018/6/4,554.856
2018/6/5,554.175
2018/6/6,544.393
2018/6/7,550.518
2018/6/8,554.132
2018/6/11,556.48
2018/6/12,551.653
2018/6/13,551.6
2018/6/14,550.394
2018/6/15,536.538
2018/6/19,544.795
2018/6/20,545.58
2018/6/21,538.224
2018/6/22,555.207
2018/6/25,552.809
2018/6/26,570.089
2018/6/27,578.237
2018/6/28,588.58
2018/6/29,600.634
2018/7/2,586.369
2018/7/3,600.233
2018/7/4,602.219
2018/7/5,594.223
2018/7/6,595.528
2018/7/9,601.589
2018/7/10,611.768
2018/7/11,576.822
2018/7/12,590.162
2018/7/13,584.897
2018/7/16,558.392
2018/7/17,555.267
2018/7/18,561.776
2018/7/19,565.058
2018/7/20,570.701
2018/7/23,586.807
2018/7/24,593.108
2018/7/25,611.969
2018/7/26,614.303
2018/7/27,606.645
2018/7/30,610.715
2018/7/31,595.09
2018/8/1,583.834
2018/8/2,586.054
2018/8/3,592.237
2018/8/6,597.205
2018/8/7,606.261
2018/8/8,592.45
2018/8/9,588.057
2018/8/10,594.24
2018/8/13,594.657
2018/8/14,594.657
2018/8/15,579.169
2018/8/16,585.092
2018/8/17,588.864
2018/8/20,594.51
2018/8/21,599.118
2018/8/22,614.098
2018/8/23,614.856
2018/8/24,620.205
2018/8/27,624.948
2018/8/28,624.948
2018/8/29,634.306
2018/8/30,640.879
2018/8/31,637.881
2018/9/3,637.881
2018/9/4,655.363
2018/9/5,646.285
2018/9/6,642.803
2018/9/7,642.803
2018/9/10,650.515
2018/9/11,650.515
2018/9/12,650.515
2018/9/13,650.515
2018/9/14,650.515
2018/9/17,654.685
2018/9/18,661.856
2018/9/19,658.258
2018/9/20,680.223
2018/9/21,652.55
2018/9/25,668.518
2018/9/26,662.567
2018/9/27,671.069
2018/9/28,680.541
2018/10/8,660.306
2018/10/9,663.818
2018/10/10,643.835
2018/10/11,619.246
2018/10/12,616.809
2018/10/15,626.57
2018/10/16,626.57
2018/10/17,633.335
2018/10/18,616.68
2018/10/19,616.68
2018/10/22,600.364
2018/10/23,553.73
2018/10/24,549.36
2018/10/25,562.874
2018/10/26,564.502
2018/10/29,574.153
2018/10/30,570.026
2018/10/31,570.026
2018/11/1,535.379
2018/11/2,535.379
2018/11/5,535.379
2018/11/6,535.379
2018/11/7,508.22
2018/11/8,508.22
2018/11/9,493.066
2018/11/12,493.066
2018/11/13,462.302
2018/11/14,485.468
2018/11/15,501.028
2018/11/16,513.18
2018/11/19,513.993
2018/11/20,478.93
2018/11/21,485.896
2018/11/22,485.896
2018/11/23,485.896
2018/11/26,467.49
2018/11/27,463.408
2018/11/28,453.743
2018/11/29,453.743
2018/11/30,460.584
2018/12/3,456.937
2018/12/4,473.703
2018/12/5,481.949
2018/12/6,477.801
2018/12/7,481.387
2018/12/10,481.387
2018/12/11,481.387
2018/12/12,461.176
2018/12/13,472.786
2018/12/14,460.662
2018/12/17,456.922
2018/12/18,434.789
2018/12/19,446.971
2018/12/20,435.397
2018/12/21,435.397
2018/12/24,435.397
2018/12/25,435.397
2018/12/26,435.397
2018/12/27,445.16
2018/12/28,445.16
2019/1/2,433.557
2019/1/3,431.967
2019/1/4,424.39
2019/1/7,411.73
2019/1/8,411.73
2019/1/9,411.73
2019/1/10,411.73
2019/1/11,444.98
2019/1/14,444.98
2019/1/15,445.849
2019/1/16,445.849
2019/1/17,441.895
